stop_id,stop_name,topological_rank,demand_weighted_rank,rank_shift
13257,קריית שלום/דרך בן צבי,2641.0,346.0,2295.0
18959,צומת שפרעם,1120.0,347.0,773.0
28638,משה סנה,1343.0,348.0,995.0
25404,מחלף גדרה למערב,419.0,349.0,70.0
7382,מעזריטש/חיי יצחק,1355.0,350.0,1005.0
25939,שד' בן גוריון/רמז,1307.0,351.0,956.0
8486,מסילת ישרים/עזר מציון,2041.0,352.0,1689.0
10220,זווין/וינוגרד,8788.0,353.0,8435.0
15177,צומת ניצני עוז,272.0,354.0,-82.0
34146,קניון כפר סבא הירוקה/רפופורט,5792.0,355.0,5437.0
19576,צומת אבליים,137.0,356.0,-219.0
26012,שד.הרצל/בן עמי,2997.0,357.0,2640.0
25550,שד.בני ברית/הנחושת,1245.0,358.0,887.0
35797,משה הס,1142.0,359.0,783.0
7197,מסוף חצור הגלילית/הורדה,89.0,360.0,-271.0
9552,צומת פת/גולומב,301.0,361.0,-60.0
23543,יסודות/מזכירות,229.0,362.0,-133.0
1569,צומת חריש לצפון,164.0,363.0,-199.0
20408,מסעף קיבוץ קדרים לצפון,55.0,364.0,-309.0
16137,מסוף משה ארנס/אבשלום גיסין,1788.0,365.0,1423.0
12818,אלוף שדה/כורזין,493.0,366.0,127.0
8639,גבעת משה,1524.0,367.0,1157.0
18918,מושב מירון,27.0,368.0,-341.0
24755,הרצל/תרמ''ב,2083.0,369.0,1714.0
25597,שדרות הפלמח/חטיבת כרמלי,1331.0,370.0,961.0
3437,גרנד קניון/שמחה גולן,119.0,371.0,-252.0
10776,שדרות שז''ר/בנייני האומה,1394.0,372.0,1022.0
1031,שד. עמק איילון/כיכר שקנאי,381.0,373.0,8.0
9056,שדרות דוד טוביהו/סוקולוב,415.0,374.0,41.0
12962,מחלף גבעת שמואל/כביש 4,1402.0,375.0,1027.0
38393,המחקר/אבא הלל סילבר,579.0,376.0,203.0
27353,בית חולים ברזילי,199.0,377.0,-178.0
9841,ברזני/רובוביץ',1386.0,378.0,1008.0
